grid_id,TIME,depth,latitude,longitude,avg_temperature,avg_salinity
-1.0_83.0,5/10/2021,10,-1,83,30.47950997,34.58690715
-1.0_83.0,5/10/2021,100,-1,83,22.38319384,35.21177366
-1.0_83.0,5/10/2021,200,-1,83,13.44188089,35.09293002
-1.0_83.0,5/10/2021,500,-1,83,9.986499964,34.99887562
-1.0_83.0,5/10/2021,1000,-1,83,6.716304449,34.90934803
-1.0_83.0,5/10/2021,2000,-1,83,,
-1.0_83.0,7/18/2021,10,-1,83,29.17507051,35.00672913
-1.0_83.0,7/18/2021,100,-1,83,28.64320016,34.98705472
-1.0_83.0,7/18/2021,200,-1,83,13.66128951,35.109833
-1.0_83.0,7/18/2021,500,-1,83,9.751930182,34.93397305
-1.0_83.0,7/18/2021,1000,-1,83,,
-1.0_83.0,7/18/2021,2000,-1,83,,
-1.0_85.0,3/10/2021,10,-1,85,29.52899933,34.35100174
-1.0_85.0,3/10/2021,100,-1,85,17.90699959,35.1780014
-1.0_85.0,3/10/2021,200,-1,85,13.8739996,35.15200043
-1.0_85.0,3/10/2021,500,-1,85,10.12490351,35.03162122
-1.0_85.0,3/10/2021,1000,-1,85,6.632444999,34.96971637
-1.0_85.0,3/10/2021,2000,-1,85,,
-1.0_85.0,7/28/2021,10,-1,85,29.20330453,34.74977434
-1.0_85.0,7/28/2021,100,-1,85,27.64342532,34.9952919
-1.0_85.0,7/28/2021,200,-1,85,13.22367526,35.09428299
-1.0_85.0,7/28/2021,500,-1,85,9.783439902,34.93806606
-1.0_85.0,7/28/2021,1000,-1,85,6.364566868,34.88723485
-1.0_85.0,7/28/2021,2000,-1,85,,
-1.0_87.0,3/1/2021,10,-1,87,29.20400047,34.14300156
-1.0_87.0,3/1/2021,100,-1,87,27.59600067,34.90999985
-1.0_87.0,3/1/2021,200,-1,87,13.32600021,35.10800171
-1.0_87.0,3/1/2021,500,-1,87,,
-1.0_87.0,3/1/2021,1000,-1,87,,
-1.0_87.0,3/1/2021,2000,-1,87,,
-1.0_87.0,4/28/2021,10,-1,87,30.24349976,34.6590004
-1.0_87.0,4/28/2021,100,-1,87,21.62263554,35.29836377
-1.0_87.0,4/28/2021,200,-1,87,13.64100027,35.12249947
-1.0_87.0,4/28/2021,500,-1,87,10.19499969,35.0019989
-1.0_87.0,4/28/2021,1000,-1,87,6.778712374,34.94301688
-1.0_87.0,4/28/2021,2000,-1,87,,
-1.0_89.0,5/28/2021,10,-1,89,29.93799973,34.52263537
-1.0_89.0,5/28/2021,100,-1,89,29.76539951,34.55420075
-1.0_89.0,5/28/2021,200,-1,89,14.9749999,35.15649986
-1.0_89.0,5/28/2021,500,-1,89,10.37518575,35.00500107
-1.0_89.0,5/28/2021,1000,-1,89,6.757489792,34.94130719
-1.0_89.0,5/28/2021,2000,-1,89,,
-1.0_89.0,12/1/2021,10,-1,89,28.74555524,35.15515603
-1.0_89.0,12/1/2021,100,-1,89,28.73879642,35.46128675
-1.0_89.0,12/1/2021,200,-1,89,14.1275,35.1150961
-1.0_89.0,12/1/2021,500,-1,89,9.873889883,34.98981681
-1.0_89.0,12/1/2021,1000,-1,89,6.678078824,34.93925452
-1.0_89.0,12/1/2021,2000,-1,89,,
-1.0_93.0,10/10/2021,10,-1,93,28.97979022,33.84546608
-1.0_93.0,10/10/2021,100,-1,93,23.7561068,34.76082918
-1.0_93.0,10/10/2021,200,-1,93,13.54370866,35.11579117
-1.0_93.0,10/10/2021,500,-1,93,9.763402175,34.98190132
-1.0_93.0,10/10/2021,1000,-1,93,6.93086923,34.9469986
-1.0_93.0,10/10/2021,2000,-1,93,,
-1.0_93.0,12/10/2021,10,-1,93,29.23699951,34.12799835
-1.0_93.0,12/10/2021,100,-1,93,28.86061136,34.83022387
-1.0_93.0,12/10/2021,200,-1,93,13.95696069,35.13299942
-1.0_93.0,12/10/2021,500,-1,93,9.455109126,34.95299911
-1.0_93.0,12/10/2021,1000,-1,93,6.531729743,34.9229193
-1.0_93.0,12/10/2021,2000,-1,93,,
-11.0_59.0,6/1/2021,10,-11,59,26.98500061,34.67511093
-11.0_59.0,6/1/2021,100,-11,59,16.09167983,35.1051091
-11.0_59.0,6/1/2021,200,-11,59,12.52643957,35.08702957
-11.0_59.0,6/1/2021,500,-11,59,8.996340313,34.80238845
-11.0_59.0,6/1/2021,1000,-11,59,5.801925397,34.78083576
-11.0_59.0,6/1/2021,2000,-11,59,,
-11.0_59.0,7/1/2021,10,-11,59,25.78993089,34.95253437
-11.0_59.0,7/1/2021,100,-11,59,17.67291085,35.12355171
-11.0_59.0,7/1/2021,200,-11,59,13.19729522,35.10863322
-11.0_59.0,7/1/2021,500,-11,59,9.432945241,34.84977866
-11.0_59.0,7/1/2021,1000,-11,59,5.765185826,34.78476897
-11.0_59.0,7/1/2021,2000,-11,59,,
-11.0_59.0,11/18/2021,10,-11,59,27.81775956,35.16196823
-11.0_59.0,11/18/2021,100,-11,59,27.34650566,35.15930541
-11.0_59.0,11/18/2021,200,-11,59,13.32990005,35.09838021
-11.0_59.0,11/18/2021,500,-11,59,8.819100414,34.78460007
-11.0_59.0,11/18/2021,1000,-11,59,5.615672849,34.78543305
-11.0_59.0,11/18/2021,2000,-11,59,,
-11.0_59.0,11/28/2021,10,-11,59,27.73852005,35.12056953
-11.0_59.0,11/28/2021,100,-11,59,20.1423507,35.23974129
-11.0_59.0,11/28/2021,200,-11,59,13.44091932,35.11575157
-11.0_59.0,11/28/2021,500,-11,59,8.611270073,34.77790993
-11.0_59.0,11/28/2021,1000,-11,59,5.780954696,34.78693593
-11.0_59.0,11/28/2021,2000,-11,59,,
-11.0_59.0,12/28/2021,10,-11,59,28.67460022,34.99793015
-11.0_59.0,12/28/2021,100,-11,59,18.78357878,35.24071422
-11.0_59.0,12/28/2021,200,-11,59,13.19849984,35.10560797
-11.0_59.0,12/28/2021,500,-11,59,8.274904932,34.74520475
-11.0_59.0,12/28/2021,1000,-11,59,5.717611063,34.79198318
-11.0_59.0,12/28/2021,2000,-11,59,,
-11.0_63.0,1/10/2021,10,-11,63,28.6706995,34.6239006
-11.0_63.0,1/10/2021,100,-11,63,17.24133339,35.06188922
-11.0_63.0,1/10/2021,200,-11,63,12.56000042,35.02600098
-11.0_63.0,1/10/2021,500,-11,63,9.33536861,34.83037005
-11.0_63.0,1/10/2021,1000,-11,63,6.59499979,34.84327719
-11.0_63.0,1/10/2021,2000,-11,63,,
-11.0_65.0,4/10/2021,10,-11,65,28.54840079,34.08359989
-11.0_65.0,4/10/2021,100,-11,65,18.20093025,34.99746994
-11.0_65.0,4/10/2021,200,-11,65,13.04388984,34.92731102
-11.0_65.0,4/10/2021,500,-11,65,8.732869868,34.73584871
-11.0_65.0,4/10/2021,1000,-11,65,5.784983224,34.75036551
-11.0_65.0,4/10/2021,2000,-11,65,,
-11.0_65.0,5/10/2021,10,-11,65,28.46848038,34.32435989
-11.0_65.0,5/10/2021,100,-11,65,20.82866078,35.240762
-11.0_65.0,5/10/2021,200,-11,65,14.37835985,35.00040999
-11.0_65.0,5/10/2021,500,-11,65,9.883779944,34.83525085
-11.0_65.0,5/10/2021,1000,-11,65,6.058410682,34.75337345
-11.0_65.0,5/10/2021,2000,-11,65,,
-11.0_65.0,11/1/2021,10,-11,65,27.42627045,34.88499832
-11.0_65.0,11/1/2021,100,-11,65,18.75587075,35.14624081
-11.0_65.0,11/1/2021,200,-11,65,12.97234973,35.00500107
-11.0_65.0,11/1/2021,500,-11,65,9.164670462,34.79426857
-11.0_65.0,11/1/2021,1000,-11,65,6.065969995,34.75699997
-11.0_65.0,11/1/2021,2000,-11,65,,
-11.0_69.0,1/10/2021,10,-11,69,28.87360428,33.96310518
-11.0_69.0,1/10/2021,100,-11,69,20.74352931,35.02965027
-11.0_69.0,1/10/2021,200,-11,69,14.69810995,35.13966213
-11.0_69.0,1/10/2021,500,-11,69,8.857699789,34.78354989
-11.0_69.0,1/10/2021,1000,-11,69,5.799485852,34.72687868
-11.0_69.0,1/10/2021,2000,-11,69,,
-11.0_69.0,3/1/2021,10,-11,69,29.25600052,33.61925533
-11.0_69.0,3/1/2021,100,-11,69,20.16402978,34.94299786
-11.0_69.0,3/1/2021,200,-11,69,14.43431956,35.09964543
-11.0_69.0,3/1/2021,500,-11,69,9.022555286,34.73572857
-11.0_69.0,3/1/2021,1000,-11,69,5.83254315,34.71850009
-11.0_69.0,3/1/2021,2000,-11,69,,
-11.0_69.0,11/28/2021,10,-11,69,28.0414269,34.75400162
-11.0_69.0,11/28/2021,100,-11,69,17.67099959,35.13049991
-11.0_69.0,11/28/2021,200,-11,69,13.39632059,35.03888494
-11.0_69.0,11/28/2021,500,-11,69,8.600899932,34.75230803
-11.0_69.0,11/28/2021,1000,-11,69,5.883813437,34.75281494
-11.0_69.0,11/28/2021,2000,-11,69,,
-11.0_71.0,3/18/2021,10,-11,71,28.89599991,34.16400146
-11.0_71.0,3/18/2021,100,-11,71,17.46709078,34.91799892
-11.0_71.0,3/18/2021,200,-11,71,12.77088227,34.88823633
-11.0_71.0,3/18/2021,500,-11,71,8.564280014,34.75559891
-11.0_71.0,3/18/2021,1000,-11,71,5.444279881,34.70491989
-11.0_71.0,3/18/2021,2000,-11,71,,
-11.0_71.0,3/28/2021,10,-11,71,29.04899979,34.05599976
-11.0_71.0,3/28/2021,100,-11,71,17.69400042,34.95336359
-11.0_71.0,3/28/2021,200,-11,71,12.76449972,34.88638963
-11.0_71.0,3/28/2021,500,-11,71,8.283800201,34.74715973
-11.0_71.0,3/28/2021,1000,-11,71,5.543600006,34.70916153
-11.0_71.0,3/28/2021,2000,-11,71,,
-11.0_73.0,7/18/2021,10,-11,73,26.10899925,34.61852474
-11.0_73.0,7/18/2021,100,-11,73,20.88500023,34.81909943
-11.0_73.0,7/18/2021,200,-11,73,15.57795856,35.1786039
-11.0_73.0,7/18/2021,500,-11,73,8.070391943,34.6943153
-11.0_73.0,7/18/2021,1000,-11,73,5.297195909,34.71800635
-11.0_73.0,7/18/2021,2000,-11,73,,
-11.0_73.0,7/28/2021,10,-11,73,25.68400002,34.89920044
-11.0_73.0,7/28/2021,100,-11,73,19.83499908,34.92210007
-11.0_73.0,7/28/2021,200,-11,73,14.14900017,35.03960037
-11.0_73.0,7/28/2021,500,-11,73,7.960000038,34.68590164
-11.0_73.0,7/28/2021,1000,-11,73,5.257999897,34.72090149
-11.0_73.0,7/28/2021,2000,-11,73,,
-11.0_79.0,3/1/2021,10,-11,79,28.4747581,34.11254475
-11.0_79.0,3/1/2021,100,-11,79,20.12850598,35.24106822
-11.0_79.0,3/1/2021,200,-11,79,13.26190331,34.90803634
-11.0_79.0,3/1/2021,500,-11,79,8.398618703,34.73305266
-11.0_79.0,3/1/2021,1000,-11,79,5.29199666,34.69646784
-11.0_79.0,3/1/2021,2000,-11,79,,
-11.0_79.0,3/10/2021,10,-11,79,28.57842812,34.11259025
-11.0_79.0,3/10/2021,100,-11,79,20.0113677,35.3098776
-11.0_79.0,3/10/2021,200,-11,79,13.51048525,34.97741106
-11.0_79.0,3/10/2021,500,-11,79,8.424126515,34.73760112
-11.0_79.0,3/10/2021,1000,-11,79,5.34066205,34.69352302
-11.0_79.0,3/10/2021,2000,-11,79,,
-11.0_79.0,6/10/2021,10,-11,79,27.02776875,34.23082179
-11.0_79.0,6/10/2021,100,-11,79,17.66762337,35.06973749
-11.0_79.0,6/10/2021,200,-11,79,13.87942312,35.02572784
-11.0_79.0,6/10/2021,500,-11,79,9.047121398,34.79837383
-11.0_79.0,6/10/2021,1000,-11,79,5.367272623,34.67897901
-11.0_79.0,6/10/2021,2000,-11,79,,
-11.0_79.0,9/10/2021,10,-11,79,25.4829998,34.82500076
-11.0_79.0,9/10/2021,100,-11,79,22.46558006,35.40599823
-11.0_79.0,9/10/2021,200,-11,79,14.40349999,34.87201164
-11.0_79.0,9/10/2021,500,-11,79,8.570239565,34.68998864
-11.0_79.0,9/10/2021,1000,-11,79,,
-11.0_79.0,9/10/2021,2000,-11,79,,
